ZANAS load cell data test
18/06/2023
11:55:55
Humidity: 58.0% - Temperature: 26.0 °C - Pressure: 101367 Pa
Impulse: 169.777 N*s - Impulse Time: 4.101 s - Avg. Force:41.399 N - Max Force: 60.762N
Force(N): - Time(s)
0.441 - 0.939
0.0 - 1.025
0.0 - 1.11
0.0 - 1.196
0.0 - 1.281
0.0 - 1.366
0.0 - 1.452
0.0 - 1.537
0.0 - 1.623
0.0 - 1.708
0.0 - 1.794
0.0 - 1.879
0.0 - 1.965
0.0 - 2.05
0.0 - 2.135
0.0 - 2.221
0.0 - 2.306
0.0 - 2.392
0.0 - 2.477
0.0 - 2.563
0.0 - 2.648
0.0 - 2.733
0.0 - 2.819
0.0 - 2.904
0.0 - 2.99
0.0 - 3.075
0.0 - 3.161
0.0 - 3.246
0.0 - 3.332
0.0 - 3.417
0.0 - 3.502
0.0 - 3.588
0.0 - 3.673
0.0 - 3.759
0.0 - 3.844
0.0 - 3.93
0.0 - 4.015
0.0 - 4.1
0.0 - 4.186
0.0 - 4.271
0.0 - 4.357
0.0 - 4.442
0.0 - 4.528
0.0 - 4.613
0.0 - 4.699
0.0 - 4.784
0.0 - 4.869
0.0 - 4.955
0.0 - 5.04
0.0 - 5.126
0.0 - 5.211
0.0 - 5.297
0.0 - 5.382
0.0 - 5.467
0.0 - 5.553
0.0 - 5.638
0.0 - 5.724
0.0 - 5.809
0.0 - 5.895
0.0 - 5.98
0.0 - 6.066
0.0 - 6.151
0.0 - 6.236
0.0 - 6.322
0.0 - 6.407
0.0 - 6.493
0.0 - 6.578
0.0 - 6.664
0.0 - 6.749
0.0 - 6.834
0.157 - 6.92
1.128 - 7.005
5.001 - 7.091
12.631 - 7.176
19.682 - 7.262
27.106 - 7.347
34.441 - 7.433
38.334 - 7.518
39.619 - 7.603
41.453 - 7.689
44.463 - 7.774
45.218 - 7.86
44.13 - 7.945
44.208 - 8.031
44.434 - 8.116
43.502 - 8.202
43.698 - 8.287
45.405 - 8.372
46.856 - 8.458
46.689 - 8.543
47.494 - 8.629
49.053 - 8.714
49.877 - 8.8
50.798 - 8.885
51.23 - 8.971
50.504 - 9.056
49.072 - 9.141
48.661 - 9.227
47.915 - 9.312
45.493 - 9.398
42.267 - 9.483
40.923 - 9.569
34.166 - 9.654
27.861 - 9.739
36.118 - 9.825
49.945 - 9.91
57.143 - 9.996
56.633 - 10.081
52.024 - 10.167
45.16 - 10.252
45.562 - 10.337
53.348 - 10.423
58.252 - 10.508
59.134 - 10.594
60.762 - 10.679
53.083 - 10.765
37.628 - 10.85
16.789 - 10.935
2.167 - 11.021
0.0 - 11.106
0.0 - 11.192
0.0 - 11.277
0.0 - 11.362
0.0 - 11.448
0.0 - 11.533
0.0 - 11.619
0.0 - 11.704
0.0 - 11.79
0.0 - 11.875
0.0 - 11.96
0.0 - 12.046
0.0 - 12.131
0.0 - 12.217
0.0 - 12.302
0.0 - 12.388
0.0 - 12.473
0.0 - 12.558
0.0 - 12.644
0.0 - 12.729
0.0 - 12.815
0.0 - 12.9
0.0 - 12.986
0.0 - 13.071
0.0 - 13.156
0.0 - 13.242
0.0 - 13.327
0.0 - 13.413
0.0 - 13.498
0.0 - 13.584
0.0 - 13.669
0.0 - 13.754
0.0 - 13.84
0.0 - 13.925
0.0 - 14.011
0.0 - 14.096
0.0 - 14.182
0.0 - 14.267
0.0 - 14.352
0.0 - 14.438
0.0 - 14.523
0.0 - 14.609
0.0 - 14.694
0.0 - 14.78
0.0 - 14.865
0.0 - 14.95
0.0 - 15.036
0.0 - 15.121
0.0 - 15.207
0.0 - 15.292
0.0 - 15.378
0.0 - 15.463
0.0 - 15.548
0.0 - 15.634
0.0 - 15.719
0.0 - 15.805
0.0 - 15.89
0.0 - 15.976
0.0 - 16.061
0.0 - 16.146
0.0 - 16.232
0.0 - 16.317
0.0 - 16.403
0.0 - 16.488
0.0 - 16.574
0.0 - 16.659
0.0 - 16.744
0.0 - 16.83
0.0 - 16.915
0.0 - 17.001
0.0 - 17.086
0.0 - 17.172
0.0 - 17.257
0.0 - 17.342
0.0 - 17.428
0.0 - 17.513
0.0 - 17.599
0.0 - 17.684
0.0 - 17.77
0.0 - 17.855
0.0 - 17.94
0.0 - 18.026
0.0 - 18.111
0.0 - 18.197
0.0 - 18.282
0.0 - 18.368
0.0 - 18.453
0.0 - 18.538
0.0 - 18.624
0.0 - 18.709
0.0 - 18.795
0.0 - 18.88
0.0 - 18.965
0.0 - 19.051
0.0 - 19.136
0.0 - 19.222
0.0 - 19.307
0.0 - 19.393
0.0 - 19.478
0.0 - 19.563
0.0 - 19.649
0.0 - 19.734
0.0 - 19.82
0.0 - 19.905
0.0 - 19.991
0.0 - 20.076
0.0 - 20.161
0.0 - 20.247
0.0 - 20.332
0.0 - 20.418
0.0 - 20.503
0.0 - 20.589
0.0 - 20.674
0.0 - 20.759
0.0 - 20.845
0.0 - 20.93
0.0 - 21.016
0.0 - 21.101
0.0 - 21.187
0.0 - 21.272
0.0 - 21.357
0.0 - 21.443
0.0 - 21.528
0.0 - 21.614
0.0 - 21.699
0.0 - 21.784
0.0 - 21.87
0.0 - 21.955
0.0 - 22.041
0.0 - 22.126
0.0 - 22.212
0.0 - 22.297
0.0 - 22.383
0.0 - 22.468
0.0 - 22.553
0.0 - 22.639
0.0 - 22.724
