ZANAS load cell data test
18/06/2023
05:53:44
Humidity: 48.0% - Temperature: 27.0 °C - Pressure: 101325 Pa
Impulse: 103.35743099999999 N*s - Impulse Time: 3.503 s - Avg. Force:29.505404224950038 N - Max Force: 4484.0N
Force(N): - Time(s)
0 - 0.0
0.0 - 1.379
0.0 - 1.464
0.0 - 1.55
0.01 - 1.635
0.01 - 1.721
0.0 - 1.806
0.0 - 1.891
0.01 - 1.977
0.0 - 2.062
0.0 - 2.148
0.0 - 2.233
0.0 - 2.319
0.0 - 2.404
0.0 - 2.49
0.0 - 2.575
0.0 - 2.661
0.0 - 2.746
0.0 - 2.831
0.0 - 2.917
0.0 - 3.002
0.0 - 3.088
0.0 - 3.173
0.0 - 3.259
0.0 - 3.344
0.0 - 3.43
0.118 - 3.515
1.991 - 3.601
7.953 - 3.686
8.836 - 3.772
15.151 - 3.857
26.105 - 3.943
29.351 - 4.028
31.617 - 4.113
33.46 - 4.199
34.951 - 4.284
36.824 - 4.37
39.482 - 4.455
40.237 - 4.541
40.805 - 4.626
41.825 - 4.712
42.051 - 4.797
41.933 - 4.883
41.109 - 4.968
40.325 - 5.054
40.717 - 5.139
41.845 - 5.224
42.022 - 5.31
41.708 - 5.395
41.502 - 5.481
41.1 - 5.566
39.423 - 5.652
37.0 - 5.737
40.099 - 5.823
43.257 - 5.908
43.698 - 5.994
43.973 - 6.079
43.924 - 6.165
43.64 - 6.25
39.197 - 6.335
23.958 - 6.421
6.61 - 6.506
0.451 - 6.592
0.255 - 6.677
0.304 - 6.763
0.304 - 6.848
0.294 - 6.934
0.245 - 7.019
0.167 - 7.105
0.049 - 7.19
0.039 - 7.275
0.059 - 7.361
0.049 - 7.446
0.059 - 7.532
0.059 - 7.617
0.039 - 7.703
0.039 - 7.788
0.059 - 7.874
0.069 - 7.959
0.049 - 8.045
0.029 - 8.13
0.029 - 8.215
0.039 - 8.301
0.049 - 8.386
0.039 - 8.472
0.049 - 8.557
0.059 - 8.643
0.049 - 8.728
0.049 - 8.814
0.039 - 8.899
0.059 - 8.985
0.059 - 9.07
0.049 - 9.156
0.029 - 9.241
0.029 - 9.326
0.049 - 9.412
0.049 - 9.497
0.039 - 9.583
0.049 - 9.668
0.049 - 9.754
0.039 - 9.839
0.039 - 9.925
0.039 - 10.01
0.049 - 10.096
0.029 - 10.181
0.02 - 10.267
0.02 - 10.352
0.039 - 10.437
0.049 - 10.523
0.039 - 10.608
0.039 - 10.694
0.039 - 10.779
0.039 - 10.865
0.029 - 10.95
0.049 - 11.036
0.039 - 11.121
0.02 - 11.207
0.029 - 11.292
0.02 - 11.378
0.01 - 11.463
0.02 - 11.548
0.02 - 11.634
0.029 - 11.719
0.02 - 11.805
0.02 - 11.89
0.029 - 11.976
0.029 - 12.061
