ZANAS load cell data test
18/06/2023
14:06:29
Humidity: 48.12% - Temperature: 20.34 °C - Pressure: 101325 Pa
Impulse: 134.215 N*s - Impulse Time: 0.876 s - Avg. Force:153.214 N - Max Force: 29.832N
Force(N): - Time(s)
0.0 - 0.0
0.481 - 0.101
1.059 - 0.202
1.765 - 0.305
2.599 - 0.406
2.765 - 0.507
3.403 - 0.61
3.883 - 0.711
4.187 - 0.814
4.766 - 0.915
4.884 - 1.016
5.707 - 1.119
6.776 - 1.22
7.1 - 1.323
8.502 - 1.424
9.356 - 1.526
10.268 - 1.628
11.131 - 1.73
11.454 - 1.831
12.964 - 1.934
14.337 - 2.035
16.053 - 2.138
16.887 - 2.239
18.172 - 2.341
20.516 - 2.444
21.898 - 2.545
22.634 - 2.648
24.879 - 2.749
27.753 - 2.851
29.802 - 2.953
29.832 - 3.055
29.253 - 3.156
28.959 - 3.259
27.851 - 3.36
26.772 - 3.463
26.507 - 3.564
25.742 - 3.666
25.233 - 3.768
24.497 - 3.87
23.781 - 3.972
23.095 - 4.074
22.418 - 4.175
22.202 - 4.277
22.202 - 4.379
21.555 - 4.481
21.555 - 4.583
20.721 - 4.684
20.113 - 4.787
19.917 - 4.888
19.917 - 4.99
19.152 - 5.092
19.152 - 5.194
18.417 - 5.296
17.711 - 5.398
17.534 - 5.499
17.191 - 5.602
17.191 - 5.703
17.191 - 5.805
16.524 - 5.907
16.367 - 6.008
15.887 - 6.111
15.426 - 6.212
14.975 - 6.315
14.975 - 6.416
14.681 - 6.518
14.396 - 6.62
14.249 - 6.722
14.112 - 6.823
13.827 - 6.926
13.425 - 7.027
12.915 - 7.13
12.788 - 7.231
12.533 - 7.333
12.405 - 7.435
12.052 - 7.537
11.807 - 7.639
11.464 - 7.74
11.238 - 7.842
11.023 - 7.944
10.601 - 8.046
10.189 - 8.147
9.797 - 8.25
9.699 - 8.351
9.699 - 8.454
9.699 - 8.555
9.699 - 8.656
9.414 - 8.759
